"","checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","gender","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"1","<0",6,"critical","consumer goods",1169,"no known savings",">=7",4,"male","none",4,"real estate",67,"stores","own",2,"skilled","1","yes","yes","good"
"2","0<=X<200",48,"taking credits","consumer goods",5951,"<100","1<=X<4",2,"female","none",2,"real estate",22,"stores","own",1,"skilled","1","no","yes","bad"
"3","no checking",12,"critical","education",2096,"<100","4<=X<7",2,"male","none",3,"real estate",49,"stores","own",1,"unskilled resident","2","no","yes","good"
"4","<0",42,"taking credits","consumer goods",7882,"<100","4<=X<7",2,"male","guarantor",4,"life insurance",45,"stores","for free",1,"skilled","2","no","yes","good"
"5","<0",24,"delayed previously","car purchase",4870,"<100","1<=X<4",3,"male","none",4,"unknown",53,"stores","for free",2,"skilled","2","no","yes","bad"
"6","no checking",36,"taking credits","education",9055,"no known savings","1<=X<4",2,"male","none",4,"unknown",35,"stores","for free",1,"unskilled resident","2","yes","yes","good"
"7","no checking",24,"taking credits","consumer goods",2835,"500<=X<1000",">=7",3,"male","none",4,"life insurance",53,"stores","own",1,"skilled","1","no","yes","good"
"8","0<=X<200",36,"taking credits","car purchase",6948,"<100","1<=X<4",2,"male","none",2,"car",35,"stores","rent",1,"high qualified","1","yes","yes","good"
"9","no checking",12,"taking credits","consumer goods",3059,">=1000","4<=X<7",2,"male","none",4,"real estate",61,"stores","own",1,"unskilled resident","1","no","yes","good"
"10","0<=X<200",30,"critical","car purchase",5234,"<100","0",4,"male","none",2,"car",28,"stores","own",2,"high qualified","1","no","yes","bad"
"11","0<=X<200",12,"taking credits","car purchase",1295,"<100","0<X<1",3,"female","none",1,"car",25,"stores","rent",1,"skilled","1","no","yes","bad"
"12","<0",48,"taking credits","business",4308,"<100","0<X<1",3,"female","none",4,"life insurance",24,"stores","rent",1,"skilled","1","no","yes","bad"
"13","0<=X<200",12,"taking credits","consumer goods",1567,"<100","1<=X<4",1,"female","none",1,"car",22,"stores","own",1,"skilled","1","yes","yes","good"
"14","<0",24,"critical","car purchase",1199,"<100",">=7",4,"male","none",4,"car",60,"stores","own",2,"unskilled resident","1","no","yes","bad"
"15","<0",15,"taking credits","car purchase",1403,"<100","1<=X<4",2,"female","none",4,"car",28,"stores","rent",1,"skilled","1","no","yes","good"
"16","<0",24,"taking credits","consumer goods",1282,"100<=X<500","1<=X<4",4,"female","none",2,"car",32,"stores","own",1,"skilled","1","no","yes","bad"
"17","no checking",24,"critical","consumer goods",2424,"no known savings",">=7",4,"male","none",4,"life insurance",43,"stores","own",2,"skilled","1","no","yes","good"
"18","<0",30,"paid fully","business",8072,"no known savings","0<X<1",2,"male","none",3,"car",25,"bank","own",3,"skilled","1","no","yes","good"
"19","0<=X<200",24,"taking credits","car purchase",12579,"<100",">=7",4,"female","none",3,"unknown",44,"stores","for free",1,"high qualified","1","yes","yes","bad"
"20","no checking",24,"taking credits","consumer goods",3430,"500<=X<1000",">=7",3,"male","none",2,"car",31,"stores","own",1,"skilled","2","yes","yes","good"
"21","no checking",9,"critical","car purchase",2134,"<100","1<=X<4",4,"male","none",4,"car",48,"stores","own",3,"skilled","1","yes","yes","good"
"22","<0",6,"taking credits","consumer goods",2647,"500<=X<1000","1<=X<4",2,"male","none",3,"real estate",44,"stores","rent",1,"skilled","2","no","yes","good"
"23","<0",10,"critical","car purchase",2241,"<100","0<X<1",1,"male","none",3,"real estate",48,"stores","rent",2,"unskilled resident","2","no","no","good"
"24","0<=X<200",12,"critical","car purchase",1804,"100<=X<500","0<X<1",3,"male","none",4,"life insurance",44,"stores","own",1,"skilled","1","no","yes","good"
"25","no checking",10,"critical","consumer goods",2069,"no known savings","1<=X<4",2,"male","none",1,"car",26,"stores","own",2,"skilled","1","no","no","good"
"26","<0",6,"taking credits","consumer goods",1374,"<100","1<=X<4",1,"male","none",2,"car",36,"bank","own",1,"unskilled resident","1","yes","yes","good"
"27","no checking",6,"paid fully","consumer goods",426,"<100",">=7",4,"male","none",4,"car",39,"stores","own",1,"unskilled resident","1","no","yes","good"
"28",">=200",10,"paid fully","consumer goods",409,">=1000","1<=X<4",3,"female","none",3,"real estate",42,"stores","rent",2,"skilled","1","no","yes","good"
"29","0<=X<200",7,"taking credits","consumer goods",2415,"<100","1<=X<4",3,"male","guarantor",2,"real estate",34,"stores","own",1,"skilled","1","no","yes","good"
"30","<0",60,"delayed previously","business",6836,"<100",">=7",3.8,"male","none",4,"unknown",63,"stores","own",2,"skilled","1","yes","yes","bad"
"31","0<=X<200",18,"taking credits","business",1913,">=1000","0<X<1",3,"male","none",3,"real estate",36,"bank","own",1,"skilled","1","yes","yes","good"
"32","<0",24,"taking credits","consumer goods",4020,"<100","1<=X<4",2,"male","none",2,"car",27,"stores","own",1,"skilled","1","no","yes","good"
"33","0<=X<200",18,"taking credits","car purchase",5866,"100<=X<500","1<=X<4",2.28,"male","none",2,"car",30,"stores","own",2,"skilled","1","yes","yes","good"
"34","no checking",12,"critical","business",1264,"no known savings",">=7",4,"male","none",4,"unknown",57,"stores","rent",1,"unskilled resident","1","no","yes","good"
"35",">=200",12,"taking credits","consumer goods",1474,"<100","0<X<1",4,"female","none",1,"life insurance",33,"bank","own",1,"high qualified","1","yes","yes","good"
"36","0<=X<200",45,"critical","consumer goods",4746,"<100","0<X<1",4,"male","none",2,"life insurance",25,"stores","own",2,"unskilled resident","1","no","yes","bad"
"37","no checking",48,"critical","education",6110,"<100","1<=X<4",1,"male","none",3,"unknown",31,"bank","for free",1,"skilled","1","yes","yes","good"
"38",">=200",18,"taking credits","consumer goods",2100,"<100","1<=X<4",4,"male","co applicant",2,"real estate",37,"stores","own",1,"skilled","1","no","yes","bad"
"39",">=200",10,"taking credits","consumer goods",1225,"<100","1<=X<4",2,"male","none",2,"car",37,"stores","own",1,"skilled","1","yes","yes","good"
"40","0<=X<200",9,"taking credits","consumer goods",458,"<100","1<=X<4",4,"male","none",3,"real estate",24,"stores","own",1,"skilled","1","no","yes","good"
"41","no checking",30,"taking credits","consumer goods",2333,"500<=X<1000",">=7",4,"male","none",2,"car",30,"bank","own",1,"high qualified","1","no","yes","good"
"42","0<=X<200",12,"taking credits","consumer goods",1158,"500<=X<1000","1<=X<4",3,"male","none",1,"car",26,"stores","own",1,"skilled","1","yes","yes","good"
"43","0<=X<200",18,"delayed previously","repairs",4819,"<100","1<=X<4",2,"male","none",4,"real estate",44,"stores","own",1,"unskilled resident","2","yes","yes","good"
